id,nome,cognome,data_nascita,email,matematica,informatica,italiano
1,Mario,Rossi,2005-03-03,mario.rossi@scuola.it,7,2,3
2,Mario,Bianchi,2004-11-28,mario.bianchi@scuola.it,5,8,2
3,Gianni,Bianchi,2004-02-10,gianni.bianchi@scuola.it,4,6,8
4,Alessandro,Rossi,2004-12-01,alessandro.rossi@scuola.it,3,5,3
5,Mario,Rossi,2006-03-09,mario.rossi@scuola.it,6,6,8
6,Gianni,Rossi,2004-12-03,gianni.rossi@scuola.it,2,7,5
7,Mario,Rossi,2004-09-07,mario.rossi@scuola.it,10,3,7
8,Mario,Bianchi,2005-04-22,mario.bianchi@scuola.it,1,9,8
9,Pippo,Rossi,2004-04-24,pippo.rossi@scuola.it,7,2,10
10,Sara,Bianchi,2004-01-23,sara.bianchi@scuola.it,6,4,3
11,Pippo,Bianchi,2005-11-01,pippo.bianchi@scuola.it,7,9,3
12,Alessandro,Rossi,2006-08-18,alessandro.rossi@scuola.it,4,4,4
13,Alessandro,Rossi,2006-02-26,alessandro.rossi@scuola.it,6,6,7
14,Alessandro,Bianchi,2006-11-24,alessandro.bianchi@scuola.it,7,2,3
15,Gianni,Rossi,2005-05-27,gianni.rossi@scuola.it,4,5,5
16,Sara,Rossi,2005-12-23,sara.rossi@scuola.it,6,7,4
17,Gianni,Bianchi,2006-04-20,gianni.bianchi@scuola.it,5,6,6
18,Mario,Bianchi,2004-08-21,mario.bianchi@scuola.it,3,4,3
19,Sara,Bianchi,2006-10-11,sara.bianchi@scuola.it,10,8,9
20,Pippo,Rossi,2006-09-02,pippo.rossi@scuola.it,4,7,7
